time;value
2022-08-05T14:00:00.000Z;-0.213165
2022-08-05T16:00:00.000Z;-0.002085
2022-08-05T18:00:00.000Z;-0.438195
2022-08-05T20:00:00.000Z;-0.342182
2022-08-05T22:00:00.000Z;-0.193065
2022-08-06T00:00:00.000Z;-0.237358
2022-08-06T02:00:00.000Z;-0.374311
2022-08-06T04:00:00.000Z;-0.161224
2022-08-06T06:00:00.000Z;-0.406523
2022-08-06T08:00:00.000Z;-0.599383
2022-08-06T10:00:00.000Z;-0.38865
2022-08-06T12:00:00.000Z;-0.557556
2022-08-06T14:00:00.000Z;-0.486062
2022-08-06T16:00:00.000Z;-0.379132
2022-08-06T18:00:00.000Z;-0.443893
2022-08-06T20:00:00.000Z;-0.47865
2022-08-06T22:00:00.000Z;-0.221957
2022-08-07T00:00:00.000Z;-0.22182
2022-08-07T02:00:00.000Z;-0.097274
2022-08-07T04:00:00.000Z;-0.118578
2022-08-07T06:00:00.000Z;-0.039153
2022-08-07T08:00:00.000Z;-0.578087
2022-08-07T10:00:00.000Z;-0.019205
2022-08-07T12:00:00.000Z;-0.232995
2022-08-07T14:00:00.000Z;-0.380261
2022-08-07T16:00:00.000Z;-0.217259
2022-08-07T18:00:00.000Z;-0.163398
2022-08-07T20:00:00.000Z;-0.0439
2022-08-07T22:00:00.000Z;-0.226764
2022-08-08T00:00:00.000Z;-0.235971
2022-08-08T02:00:00.000Z;0.070765
2022-08-08T04:00:00.000Z;-0.158622
2022-08-08T06:00:00.000Z;-0.244988
2022-08-08T08:00:00.000Z;-0.440543
2022-08-08T10:00:00.000Z;-0.576205
2022-08-08T12:00:00.000Z;-0.116044
2022-08-08T14:00:00.000Z;-0.258461
2022-08-08T16:00:00.000Z;-0.169078
2022-08-08T18:00:00.000Z;-0.181825
2022-08-08T20:00:00.000Z;-0.314745
2022-08-08T22:00:00.000Z;-0.167826
2022-08-09T00:00:00.000Z;-0.034624
2022-08-09T02:00:00.000Z;-0.165309
2022-08-09T04:00:00.000Z;-0.275994
2022-08-09T06:00:00.000Z;-0.075194
2022-08-09T08:00:00.000Z;-0.643585
2022-08-09T10:00:00.000Z;-0.272459
2022-08-09T12:00:00.000Z;-0.278248
2022-08-09T14:00:00.000Z;-0.181623
2022-08-09T16:00:00.000Z;-0.303869
2022-08-09T18:00:00.000Z;-0.052608
2022-08-09T20:00:00.000Z;-0.167415
2022-08-09T22:00:00.000Z;-0.030592
2022-08-10T00:00:00.000Z;-0.033001
2022-08-10T02:00:00.000Z;0.186733
2022-08-10T04:00:00.000Z;0.971242
2022-08-10T06:00:00.000Z;0.097437
2022-08-10T08:00:00.000Z;-0.3601
2022-08-10T10:00:00.000Z;-0.07012
2022-08-10T12:00:00.000Z;-0.166678
2022-08-10T14:00:00.000Z;-0.029557
2022-08-10T16:00:00.000Z;0.083516
2022-08-10T18:00:00.000Z;0.08203
2022-08-10T20:00:00.000Z;0.19018
2022-08-10T22:00:00.000Z;0.146062
2022-08-11T00:00:00.000Z;0.144617
2022-08-11T02:00:00.000Z;0.124254
2022-08-11T04:00:00.000Z;0.301346
2022-08-11T06:00:00.000Z;-0.155194
2022-08-11T08:00:00.000Z;0.152804
2022-08-11T10:00:00.000Z;-0.055435
2022-08-11T12:00:00.000Z;0.040839
2022-08-11T14:00:00.000Z;-0.147278
2022-08-11T16:00:00.000Z;0.120523
2022-08-11T18:00:00.000Z;0.23857
2022-08-11T20:00:00.000Z;0.11257
2022-08-11T22:00:00.000Z;0.157612
2022-08-12T00:00:00.000Z;-0.019865
2022-08-12T02:00:00.000Z;0.237704
2022-08-12T04:00:00.000Z;0.20588
2022-08-12T06:00:00.000Z;0.427435
